Year,Month,County
101,5,高雄市三民區
101,6,高雄市三民區
101,7,高雄市三民區
101,11,高雄市三民區
101,11,高雄市三民區
101,12,高雄市三民區
102,6,高雄市三民區
102,7,高雄市三民區
102,12,高雄市三民區
102,12,高雄市三民區
103,3,高雄市三民區
103,4,高雄市三民區
103,6,高雄市三民區
103,6,高雄市三民區
103,7,高雄市三民區
103,7,高雄市三民區
103,10,高雄市三民區
104,6,高雄市三民區
104,10,高雄市三民區
104,12,高雄市三民區
105,4,高雄市三民區
105,10,高雄市三民區
105,11,高雄市三民區
105,11,高雄市三民區
105,11,高雄市三民區
105,11,高雄市三民區
106,1,高雄市三民區
106,5,高雄市三民區
106,6,高雄市三民區
106,7,高雄市三民區
106,10,高雄市三民區
107,2,高雄市三民區
107,8,高雄市三民區
107,10,高雄市三民區
107,11,高雄市三民區
107,12,高雄市三民區
108,1,高雄市三民區
108,4,高雄市三民區
108,4,高雄市三民區
108,7,高雄市三民區
108,9,高雄市三民區
108,12,高雄市三民區
109,1,高雄市三民區
109,2,高雄市三民區
109,3,高雄市三民區
109,4,高雄市三民區
109,6,高雄市三民區
109,11,高雄市三民區
110,3,高雄市三民區
110,4,高雄市三民區
110,8,高雄市三民區
110,10,高雄市三民區
110,12,高雄市三民區
101,3,新北市三重區
101,5,新北市三重區
101,5,新北市三重區
101,9,新北市三重區
101,11,新北市三重區
102,9,新北市三重區
102,9,新北市三重區
102,10,新北市三重區
102,10,新北市三重區
103,1,新北市三重區
103,10,新北市三重區
103,11,新北市三重區
105,1,新北市三重區
105,5,新北市三重區
105,5,新北市三重區
105,8,新北市三重區
105,9,新北市三重區
106,2,新北市三重區
106,2,新北市三重區
106,8,新北市三重區
106,12,新北市三重區
107,4,新北市三重區
107,6,新北市三重區
107,8,新北市三重區
107,10,新北市三重區
107,11,新北市三重區
107,11,新北市三重區
108,1,新北市三重區
108,3,新北市三重區
108,4,新北市三重區
108,4,新北市三重區
108,5,新北市三重區
108,6,新北市三重區
108,7,新北市三重區
108,9,新北市三重區
109,1,新北市三重區
109,2,新北市三重區
109,3,新北市三重區
109,5,新北市三重區
109,8,新北市三重區
109,10,新北市三重區
109,12,新北市三重區
110,4,新北市三重區
110,5,新北市三重區
110,7,新北市三重區
110,9,新北市三重區
110,9,新北市三重區
110,10,新北市三重區
110,11,新北市三重區
110,12,新北市三重區
110,12,新北市三重區
102,9,臺北市大同區
103,11,臺北市大同區
104,12,臺北市大同區
105,12,臺北市大同區
106,5,臺北市大同區
107,3,臺北市大同區
107,6,臺北市大同區
107,6,臺北市大同區
107,8,臺北市大同區
108,4,臺北市大同區
108,4,臺北市大同區
108,7,臺北市大同區
109,2,臺北市大同區
109,11,臺北市大同區
110,3,臺北市大同區
110,11,臺北市大同區
101,5,臺北市大安區
101,2,臺北市大安區
101,2,臺北市大安區
102,9,臺北市大安區
103,9,臺北市大安區
104,1,臺北市大安區
104,5,臺北市大安區
105,1,臺北市大安區
106,1,臺北市大安區
106,3,臺北市大安區
106,4,臺北市大安區
106,6,臺北市大安區
106,7,臺北市大安區
106,11,臺北市大安區
107,2,臺北市大安區
108,1,臺北市大安區
108,4,臺北市大安區
108,9,臺北市大安區
108,11,臺北市大安區
109,10,臺北市大安區
110,1,臺北市大安區
110,4,臺北市大安區
101,5,臺北市中正區
101,12,臺北市中正區
102,5,臺北市中正區
102,11,臺北市中正區
103,3,臺北市中正區
103,6,臺北市中正區
103,9,臺北市中正區
104,2,臺北市中正區
104,6,臺北市中正區
104,9,臺北市中正區
104,12,臺北市中正區
105,6,臺北市中正區
105,11,臺北市中正區
106,12,臺北市中正區
108,8,臺北市中正區
109,1,臺北市中正區
109,5,臺北市中正區
110,2,臺北市中正區
110,4,臺北市中正區
110,8,臺北市中正區
101,7,新北市中和區
101,8,新北市中和區
101,10,新北市中和區
101,11,新北市中和區
101,12,新北市中和區
102,11,新北市中和區
103,6,新北市中和區
103,9,新北市中和區
103,10,新北市中和區
104,6,新北市中和區
105,3,新北市中和區
105,8,新北市中和區
106,1,新北市中和區
106,4,新北市中和區
106,7,新北市中和區
106,9,新北市中和區
107,4,新北市中和區
107,10,新北市中和區
108,4,新北市中和區
109,8,新北市中和區
109,9,新北市中和區
110,1,新北市中和區
106,4,臺中市中區
108,8,臺中市中區
110,3,臺中市中區
110,8,臺中市北區
101,8,臺中市北區
108,5,臺中市北區
109,7,臺中市北區
108,5,臺中市北區
108,8,臺中市北區
105,8,臺中市北區
106,8,臺中市北區
108,2,臺中市北區
105,1,臺中市北區
105,10,臺中市北區
106,6,臺中市北區
108,10,臺中市北區
106,1,臺中市北區
101,2,新北市永和區
101,10,新北市永和區
101,12,新北市永和區
102,3,新北市永和區
102,6,新北市永和區
102,11,新北市永和區
103,3,新北市永和區
103,5,新北市永和區
104,10,新北市永和區
104,11,新北市永和區
105,3,新北市永和區
105,3,新北市永和區
105,9,新北市永和區
106,11,新北市永和區
107,8,新北市永和區
107,9,新北市永和區
107,9,新北市永和區
108,8,新北市永和區
109,4,新北市永和區
110,4,新北市永和區
110,5,新北市永和區
110,7,新北市永和區
110,10,臺中市西區
103,1,臺中市西區
110,10,臺中市西區
101,7,臺中市西區
101,12,臺中市西區
101,1,臺中市西區
103,7,臺中市西區
103,7,臺中市西區
105,10,臺中市西區
109,1,臺中市西區
101,10,臺中市西區
102,6,臺中市西區
106,12,臺中市西區
107,5,臺中市西區
109,12,臺中市西區
104,12,臺中市西區
108,1,臺中市西區
108,3,臺中市西區
109,3,臺中市西區
104,9,臺中市西區
110,4,臺中市西區
101,12,臺中市西區
102,2,臺中市西區
106,11,臺中市西區
108,9,臺中市西區
110,7,臺中市西區
101,1,臺北市松山區
101,2,臺北市松山區
101,2,臺北市松山區
101,12,臺北市松山區
102,12,臺北市松山區
103,8,臺北市松山區
103,11,臺北市松山區
106,7,臺北市松山區
110,4,臺北市松山區
101,3,新北市板橋區
101,4,新北市板橋區
101,6,新北市板橋區
101,9,新北市板橋區
101,12,新北市板橋區
102,2,新北市板橋區
102,4,新北市板橋區
102,4,新北市板橋區
102,4,新北市板橋區
102,5,新北市板橋區
102,8,新北市板橋區
103,3,新北市板橋區
103,4,新北市板橋區
103,5,新北市板橋區
103,10,新北市板橋區
103,10,新北市板橋區
104,5,新北市板橋區
104,8,新北市板橋區
104,9,新北市板橋區
105,1,新北市板橋區
105,1,新北市板橋區
105,4,新北市板橋區
105,5,新北市板橋區
105,6,新北市板橋區
105,7,新北市板橋區
106,1,新北市板橋區
106,2,新北市板橋區
106,3,新北市板橋區
106,4,新北市板橋區
106,5,新北市板橋區
106,6,新北市板橋區
106,7,新北市板橋區
106,7,新北市板橋區
106,9,新北市板橋區
106,10,新北市板橋區
106,12,新北市板橋區
107,1,新北市板橋區
107,4,新北市板橋區
107,4,新北市板橋區
107,5,新北市板橋區
107,5,新北市板橋區
107,10,新北市板橋區
107,11,新北市板橋區
108,1,新北市板橋區
108,1,新北市板橋區
108,3,新北市板橋區
108,5,新北市板橋區
108,6,新北市板橋區
108,8,新北市板橋區
108,9,新北市板橋區
108,9,新北市板橋區
108,11,新北市板橋區
108,12,新北市板橋區
109,1,新北市板橋區
109,2,新北市板橋區
109,5,新北市板橋區
109,6,新北市板橋區
109,7,新北市板橋區
109,8,新北市板橋區
109,8,新北市板橋區
109,8,新北市板橋區
110,1,新北市板橋區
110,1,新北市板橋區
110,2,新北市板橋區
110,2,新北市板橋區
110,7,新北市板橋區
110,9,新北市板橋區
110,11,新北市板橋區
103,8,臺北市信義區
104,3,臺北市信義區
105,10,臺北市信義區
106,1,臺北市信義區
107,7,臺北市信義區
107,12,臺北市信義區
108,6,臺北市信義區
108,10,臺北市信義區
109,2,臺北市信義區
109,3,臺北市信義區
110,3,臺北市信義區
110,8,臺北市信義區
104,12,臺中市南區
101,3,臺中市南區
109,12,臺中市南區
103,7,臺中市南區
109,4,臺中市南區
102,12,臺中市南區
101,10,臺中市南區
102,7,臺中市南區
109,4,臺中市南區
109,10,臺中市南區
101,1,臺中市南區
110,6,臺中市南區
101,1,臺中市南區
106,8,臺中市南區
108,10,臺中市南區
102,8,臺中市南區
101,2,高雄市苓雅區
101,5,高雄市苓雅區
101,6,高雄市苓雅區
101,8,高雄市苓雅區
101,8,高雄市苓雅區
102,1,高雄市苓雅區
102,1,高雄市苓雅區
104,9,高雄市苓雅區
104,10,高雄市苓雅區
105,3,高雄市苓雅區
106,7,高雄市苓雅區
107,12,高雄市苓雅區
107,12,高雄市苓雅區
108,3,高雄市苓雅區
108,10,高雄市苓雅區
109,6,高雄市苓雅區
110,9,高雄市苓雅區
110,9,高雄市苓雅區
110,9,高雄市苓雅區
110,9,高雄市苓雅區
101,4,新北市新莊區
101,9,新北市新莊區
101,10,新北市新莊區
102,2,新北市新莊區
102,3,新北市新莊區
102,8,新北市新莊區
103,4,新北市新莊區
103,12,新北市新莊區
104,3,新北市新莊區
104,9,新北市新莊區
104,11,新北市新莊區
105,1,新北市新莊區
106,6,新北市新莊區
106,6,新北市新莊區
107,4,新北市新莊區
107,8,新北市新莊區
107,10,新北市新莊區
108,2,新北市新莊區
108,4,新北市新莊區
108,4,新北市新莊區
108,5,新北市新莊區
108,5,新北市新莊區
108,6,新北市新莊區
108,10,新北市新莊區
108,12,新北市新莊區
109,2,新北市新莊區
109,2,新北市新莊區
109,3,新北市新莊區
109,3,新北市新莊區
109,3,新北市新莊區
109,4,新北市新莊區
109,7,新北市新莊區
109,8,新北市新莊區
109,11,新北市新莊區
109,12,新北市新莊區
109,12,新北市新莊區
110,2,新北市新莊區
110,3,新北市新莊區
110,5,新北市新莊區
110,8,新北市新莊區
110,8,新北市新莊區
110,8,新北市新莊區
110,10,新北市新莊區
110,12,新北市新莊區
101,5,高雄市新興區
102,2,高雄市新興區
102,9,高雄市新興區
102,10,高雄市新興區
102,12,高雄市新興區
104,9,高雄市新興區
105,10,高雄市新興區
106,9,高雄市新興區
107,1,高雄市新興區
109,4,高雄市新興區
109,6,高雄市新興區
101,3,臺北市萬華區
101,3,臺北市萬華區
101,5,臺北市萬華區
101,10,臺北市萬華區
101,10,臺北市萬華區
101,11,臺北市萬華區
101,11,臺北市萬華區
101,12,臺北市萬華區
102,4,臺北市萬華區
102,6,臺北市萬華區
102,7,臺北市萬華區
102,8,臺北市萬華區
102,9,臺北市萬華區
102,10,臺北市萬華區
102,12,臺北市萬華區
103,5,臺北市萬華區
103,11,臺北市萬華區
104,2,臺北市萬華區
104,5,臺北市萬華區
104,8,臺北市萬華區
105,6,臺北市萬華區
105,6,臺北市萬華區
105,7,臺北市萬華區
105,11,臺北市萬華區
105,11,臺北市萬華區
105,12,臺北市萬華區
106,1,臺北市萬華區
106,9,臺北市萬華區
107,2,臺北市萬華區
107,8,臺北市萬華區
108,4,臺北市萬華區
109,6,臺北市萬華區
109,9,臺北市萬華區
109,12,臺北市萬華區
110,1,臺北市萬華區
110,2,臺北市萬華區
110,11,臺北市萬華區
110,12,臺北市萬華區
101,9,高雄市旗津區
102,5,高雄市旗津區
103,6,高雄市旗津區
103,7,高雄市旗津區
105,8,高雄市旗津區
105,11,高雄市旗津區
109,1,高雄市旗津區
109,8,高雄市旗津區
109,10,高雄市旗津區
102,3,新北市蘆洲區
102,11,新北市蘆洲區
103,12,新北市蘆洲區
105,10,新北市蘆洲區
106,11,新北市蘆洲區
108,1,新北市蘆洲區
108,1,新北市蘆洲區
108,6,新北市蘆洲區
109,11,新北市蘆洲區
110,1,新北市蘆洲區
109,9,高雄市鹽埕區